spkid,a,e,i,om,w,ma,epoch,diameter,spec_B
2000128,2.748942608,0.127675206,6.245306452,76.23770453,303.6201527,158.5974897,2459000.5,162.515,C
2000129,2.87035858,0.212593821,12.26692888,135.6670026,111.2466526,21.0557946,2459000.5,113,X
2000133,3.06463429,0.135228451,7.21360214,319.0050434,290.1309255,213.0547859,2459000.5,72.175,S
2000139,2.781680954,0.174553974,10.90937395,1.817387934,165.6082666,357.6701106,2459000.5,151.116,X
2000147,3.135853558,0.023683953,1.93326314,248.2655725,100.5354131,341.2733042,2459000.5,132.93,C
2000148,2.77152632,0.187225391,25.29192479,145.0008441,252.7195672,89.54911029,2459000.5,97.75,S
2000152,3.137731361,0.080976206,12.12400981,39.8997362,59.20472377,301.1638184,2459000.5,58.964,S
2000153,3.979001314,0.140283377,7.824732846,228.131892,39.05005486,224.9811884,2459000.5,170.63,X
2000154,3.195094075,0.076735492,20.97364378,36.72606344,160.4968295,5.655291861,2459000.5,192.611,C
2000158,2.86779122,0.052075146,1.005670747,277.7032749,146.4082096,295.2741264,2459000.5,39.025,S
2000160,2.727277346,0.067037827,3.824128437,8.586249589,52.13551838,91.55738106,2459000.5,81.24,C
2000164,2.631445926,0.34679237,24.47377875,76.81450179,284.0296546,182.5899794,2459000.5,100.254,X
2000170,2.553287575,0.063495466,14.37880499,301.2966475,158.2681804,67.20213577,2459000.5,33.136,S
2000171,3.130117391,0.132047393,2.546747048,100.4767613,55.98165179,261.2654578,2459000.5,130.808,C
2000174,2.861916562,0.141161426,12.12324734,327.6570344,289.5067494,255.2908072,2459000.5,64.849,S
2000178,2.459928702,0.042889554,1.893683301,51.09282917,211.3572265,118.5166705,2459000.5,35.81,S
2000182,2.416075104,0.186482219,2.005421638,107.1839277,310.8437332,27.09470483,2459000.5,39.52,S
2000183,2.79268109,0.349769155,26.38815576,141.9040508,264.0825537,230.8424327,2459000.5,32.927,S
2000184,3.186591877,0.065930397,1.14331972,331.561873,210.3939798,0.914984352,2459000.5,62.483,X
2000185,2.739787276,0.128442895,23.23850035,153.7831716,223.4859815,272.6385173,2459000.5,160.464,C
2000188,2.760638774,0.179397179,11.70492498,240.8944598,70.17071917,287.3670484,2459000.5,35.752,S
2000190,3.986862472,0.166707925,6.176684539,175.4558563,271.1249641,308.8280924,2459000.5,159,X
2000194,2.615586921,0.238044468,18.51108696,159.2675466,162.9949842,8.815509057,2459000.5,161.667,C
2000196,3.114626367,0.015724069,7.262362347,72.32446698,201.1711813,162.1308994,2459000.5,144.626,S
2000197,2.74009534,0.164435958,8.79328442,81.60587701,245.9375043,325.3898839,2459000.5,31.729,S
2000198,2.459257379,0.227136069,9.320996725,268.2593242,89.14691662,128.3155328,2459000.5,54.323,S
2000199,3.165432367,0.18054187,15.48087676,88.58171872,180.3554145,331.3054959,2459000.5,76.129,X
2000201,2.678166941,0.179237272,5.755872364,156.925266,180.7167833,34.34804669,2459000.5,85.877,X
2000206,2.739824262,0.038688355,3.779710735,145.0447153,302.9950153,289.7780975,2459000.5,113,C
2000226,2.71175086,0.204127701,15.97033243,134.9509824,154.1849643,323.7146426,2459000.5,31.494,S
2000228,2.201365941,0.241805748,2.536734751,313.2995742,19.02575738,61.7402911,2459000.5,9.3,S
2000237,2.763688829,0.071096055,9.74740395,84.24528492,200.0895983,192.8220669,2459000.5,41.08,S
2000240,2.664311209,0.207808837,2.105548607,115.0679673,300.9969463,16.70553426,2459000.5,87.928,C
2000243,2.86083847,0.043267735,1.130237426,323.6310807,114.0946605,320.8397578,2459000.5,32,S
2000245,3.096638088,0.196674446,5.178678983,61.06696033,331.5930079,11.51387752,2459000.5,75.949,S
2000258,2.615525377,0.204352753,14.32165004,207.552007,155.6104658,123.3256597,2459000.5,64.78,S
2000259,3.136485513,0.129952875,10.81386047,86.84567201,167.7410334,31.32227627,2459000.5,174.318,X
2000261,2.331614313,0.088704615,3.635932931,96.63003008,65.89685451,63.33967731,2459000.5,50.011,X
2000263,2.887140514,0.077856711,1.320276255,216.1611682,162.6676443,99.64024929,2459000.5,23.952,S
2000264,2.796299736,0.137192938,10.42563426,49.59539241,340.4786267,190.2711845,2459000.5,62.969,S
2000272,2.776974315,0.028145753,4.432579146,37.31718498,69.10159726,240.8571252,2459000.5,26.87,X
2000275,2.770432443,0.163671273,4.764003113,134.0449059,39.63094342,240.6568534,2459000.5,103,C
2000278,2.755516879,0.131552685,7.817049483,61.99442164,139.8181109,346.0971949,2459000.5,32.773,S
2000279,4.272880797,0.042519756,2.334382766,71.92000131,24.48354088,235.0558011,2459000.5,126.59,X
2000281,2.188326504,0.13212887,5.302023171,31.39514836,16.53612877,228.5942817,2459000.5,11.036,S
2000288,2.759536926,0.205756105,4.338300034,120.1036944,84.71138726,117.0974677,2459000.5,28.981,S
2000295,2.79737885,0.170221706,2.708384095,276.0345795,147.949553,202.091226,2459000.5,28.34,S
2000301,2.724428337,0.067115437,4.898072659,142.2981272,124.1437084,64.07818585,2459000.5,53.042,C
2000306,2.358243602,0.150755404,7.277364732,141.8605936,167.8835136,110.231902,2459000.5,47.2,S
2000310,2.764561122,0.114200399,3.169927599,229.240678,325.2893886,77.81325227,2459000.5,33.708,S
2000321,2.885722257,0.046792445,2.586854696,40.21613348,35.95306488,43.92163343,2459000.5,27.974,S
2000322,2.783240406,0.245653219,8.051712851,252.3675078,114.7307565,280.8036282,2459000.5,69.855,X
2000331,3.024877383,0.096131826,6.036705896,21.8630439,333.4094993,350.3552067,2459000.5,74.92,C
2000337,2.384928078,0.136224724,7.851797888,355.4117411,98.80605109,184.5421286,2459000.5,64.549,X
2000346,2.795981715,0.102139722,8.752209111,91.94078283,291.9503542,123.9037655,2459000.5,86.447,S
2000348,2.968083509,0.070605068,9.758933764,89.914278,13.86472878,291.0188205,2459000.5,82.82,X
2000353,2.734790206,0.32763968,5.70829771,102.4707385,321.3444385,90.74073452,2459000.5,14.025,S
2000355,2.53995288,0.105327921,4.282542924,351.7063728,106.2758943,191.5557539,2459000.5,24.04,S
2000359,2.727602269,0.157570266,6.771667734,6.054414556,338.2396416,270.5639904,2459000.5,43.89,X
2000360,3.009027381,0.173953167,11.73544263,132.198208,289.2135084,254.0673721,2459000.5,129.125,C
2000363,2.747801368,0.071286723,5.946382532,64.74200592,296.1712498,136.0699696,2459000.5,97,X
2000365,2.800826918,0.157362436,12.79307039,185.1839828,216.0941746,168.399085,2459000.5,86.773,C
2000371,2.725365166,0.064148857,7.402947271,283.3910571,342.0744298,91.16266704,2459000.5,52.976,S
2000374,2.780539604,0.079455427,8.992091495,219.0080403,25.49430715,232.6866827,2459000.5,44.67,S
2000378,2.775401757,0.130439099,7.006245124,232.4421144,157.4466356,150.6071007,2459000.5,27.831,S
2000379,3.140297892,0.179785009,1.670187171,171.8857545,180.4852218,13.25445866,2459000.5,84.787,C
2000384,2.650610181,0.148367795,5.590453728,47.82970491,34.7571579,133.2085829,2459000.5,34.435,S
2000386,2.897345177,0.168619743,20.21825765,166.6463318,220.6353452,345.3181675,2459000.5,165.01,C
2000388,3.003805931,0.06579769,6.446007395,354.2607783,332.4107552,276.5920911,2459000.5,125.754,C
2000389,2.608274853,0.066950132,8.121861059,282.2846639,264.9053071,316.5713176,2459000.5,74.378,S
2000391,2.319649561,0.305685877,23.20358812,212.8644871,147.0248032,211.09554,2459000.5,15.751,S
2000394,2.763464872,0.227053644,6.21912035,66.89962408,271.1849211,171.14744,2459000.5,29.97,S
2000398,2.739253883,0.223312399,9.555256715,279.8269228,160.318872,256.8768005,2459000.5,49.771,C
2000399,3.050143281,0.075933007,13.11385849,346.1966916,193.401947,154.6077989,2459000.5,39.566,X
2000403,2.809602536,0.098047764,9.158356188,244.3608693,254.7905815,284.0151178,2459000.5,53.574,S
2000412,2.763154119,0.042466512,13.76897913,106.4424852,91.74241743,301.5222921,2459000.5,96.056,C
2000413,2.585408907,0.341261202,18.72703918,103.7146704,252.825558,55.39130631,2459000.5,34.242,X
2000423,3.067415488,0.035679363,11.24374022,69.37738533,199.0381775,135.3047934,2459000.5,175.859,C
2000425,2.88595912,0.059382808,4.047289213,61.06024194,121.6288588,346.6641871,2459000.5,67.925,C
2000432,2.369575811,0.146545496,12.12113866,88.74934388,174.0768194,22.70289206,2459000.5,46.9,S
2000433,1.458045729,0.222951265,10.83054122,304.2993259,178.8822959,271.0717326,2459000.5,16.84,S
2000444,2.771920583,0.175119673,10.26998396,195.6551338,154.4573207,311.8302841,2459000.5,159.331,C
2000453,2.183506254,0.109083236,5.54979168,11.70410619,220.7296417,26.15201456,2459000.5,23.985,S
2000456,2.788380845,0.178745822,14.43747941,229.197095,6.918789437,297.6538609,2459000.5,37.713,S
2000462,2.87168345,0.088294458,3.192706786,105.2764339,251.0849067,224.5120013,2459000.5,34.274,S
2000464,2.800610257,0.205589622,10.16995864,102.3665953,258.1893598,253.4250779,2459000.5,77.056,C
2000470,2.4046411,0.093868865,7.227152359,173.2251785,47.39630893,328.9467618,2459000.5,27.75,S
2000471,2.889114677,0.228373496,15.01635159,83.80697739,315.546317,325.7627009,2459000.5,148.128,S
2000476,2.650244596,0.07265951,10.92696956,286.3417336,1.092174706,236.2661636,2459000.5,138.493,X
2000477,2.414998593,0.188076193,5.288435268,10.65623324,322.6760817,231.449006,2459000.5,22.988,S
2000479,2.719316567,0.218934343,8.683299259,136.025387,269.6887103,149.135453,2459000.5,60.088,C
2000484,2.667814305,0.058388542,12.51408561,127.2563012,191.0022032,301.9654763,2459000.5,30.06,S
